epoch,train_loss,test_loss,train_accuracy,test_accuracy
1,4.06251944,3.77083247,0.083,0.1203
2,3.6055714,3.64127503,0.14178,0.1434
3,3.42003144,3.38970631,0.17344,0.185
4,3.30121215,3.30467311,0.1951,0.1943
5,3.21893404,3.24944846,0.21012,0.2084
6,3.1609277,3.15135124,0.22204,0.2223
7,3.11727374,3.17358097,0.22882,0.2177
8,3.08068032,3.14585233,0.23604,0.2272
9,3.05398044,3.13850528,0.24312,0.2297
10,3.03506398,3.11960588,0.24656,0.2295
11,3.02431894,3.00928728,0.24808,0.2552
12,2.98996138,3.02764716,0.25534,0.2559
13,2.96995622,2.97184872,0.25908,0.2595
14,2.95698782,2.9872935,0.26106,0.2581
15,2.93568144,2.97210632,0.2645,0.2603
16,2.91995081,2.91057392,0.26882,0.2779
17,2.90119478,2.94995889,0.27226,0.266
18,2.88655304,2.90439671,0.27434,0.2744
19,2.87351912,2.88519693,0.27742,0.2787
20,2.85679529,2.87221364,0.28376,0.2846
21,2.83957804,2.87324867,0.28384,0.2835
22,2.81429794,2.93282391,0.28872,0.2718
23,2.79686884,2.84223743,0.29104,0.2833
24,2.78037301,2.83116536,0.29618,0.2881
25,2.75869708,2.75798685,0.30084,0.3035
26,2.73962696,2.77964592,0.30452,0.3039
27,2.73079182,2.75274393,0.3089,0.3105
28,2.7109617,2.70397804,0.31214,0.3175
29,2.69856247,2.74597945,0.3138,0.311
30,2.68183119,2.69991754,0.31622,0.3129
31,2.66744883,2.73166165,0.31936,0.3137
32,2.65734974,2.74291841,0.32162,0.3069
33,2.63803488,2.66932119,0.3267,0.322
34,2.61797551,2.68386892,0.33046,0.3184
35,2.61752809,2.6865084,0.33022,0.3207
36,2.6031192,2.60282601,0.33146,0.3332
37,2.58567772,2.66088601,0.33506,0.3294
38,2.5753519,2.61282723,0.33602,0.3377
39,2.57008389,2.61055617,0.34006,0.3308
40,2.5600192,2.66110415,0.33976,0.323
41,2.54465474,2.64936275,0.3449,0.3286
42,2.54127123,2.56498977,0.34378,0.3424
43,2.52544802,2.56168849,0.34966,0.3419
44,2.51721066,2.53487243,0.3496,0.3438
45,2.50036884,2.53452953,0.35404,0.3568
46,2.48872106,2.49820556,0.35574,0.3568
47,2.48209518,2.53056435,0.358,0.3559
48,2.47612733,2.51629213,0.35702,0.3547
49,2.46602101,2.52147939,0.36294,0.3515
50,2.4602612,2.51128714,0.3597,0.3582
51,2.44320024,2.48909494,0.36626,0.3651
52,2.44017257,2.49924679,0.3667,0.3536
53,2.42934262,2.47462655,0.36716,0.3652
54,2.41781073,2.45765262,0.37108,0.3647
55,2.410443,2.46980345,0.37186,0.3565
56,2.40188918,2.46138559,0.37328,0.3649
57,2.38494854,2.46531526,0.37862,0.3655
58,2.38227345,2.48811543,0.38002,0.3618
59,2.37233449,2.45706247,0.38058,0.3645
60,2.36434557,2.48890339,0.38262,0.3655
61,2.35750709,2.4367843,0.38218,0.3725
62,2.34128667,2.40286278,0.38644,0.3848
63,2.333025,2.45942314,0.38826,0.3741
64,2.32376254,2.40791167,0.39048,0.3789
65,2.32425797,2.41570008,0.39364,0.3785
66,2.309931,2.41127174,0.39436,0.3775
67,2.29157668,2.36151854,0.39752,0.385
68,2.28968897,2.41228718,0.39792,0.3764
69,2.28135497,2.37009263,0.40282,0.3882
70,2.2722335,2.42295463,0.40248,0.3713
71,2.25415941,2.39499254,0.40588,0.3806
72,2.2536928,2.3007746,0.40526,0.4036
73,2.23872006,2.37197819,0.40924,0.3886
74,2.23695363,2.34771481,0.41002,0.3914
75,2.21951834,2.36631983,0.41222,0.379
76,2.21052035,2.34916223,0.41386,0.3946
77,2.19692467,2.31094908,0.41714,0.3968
78,2.19883634,2.27733102,0.41852,0.4056
79,2.17003504,2.31614395,0.4239,0.4037
80,2.16209447,2.31391109,0.42892,0.3973
81,2.14950066,2.29615705,0.43256,0.4014
82,2.14441111,2.26972628,0.42942,0.4078
83,2.13066107,2.29165576,0.43014,0.4027
84,2.11904007,2.23319995,0.436,0.415
85,2.10694963,2.22735129,0.43582,0.4226
86,2.09385604,2.26982564,0.4413,0.4099
87,2.08161058,2.23821374,0.44234,0.4125
88,2.06639579,2.25209967,0.44694,0.4084
89,2.05610089,2.24149739,0.4487,0.4131
90,2.05182043,2.25252568,0.45138,0.4071
91,2.03298126,2.19039115,0.45334,0.424
92,2.01612755,2.17775742,0.45682,0.4287
93,2.00759453,2.19649359,0.4587,0.4253
94,1.9899346,2.23675351,0.46618,0.4173
95,1.98052357,2.17737401,0.4631,0.4356
96,1.97026194,2.16708559,0.4696,0.4272
97,1.94434908,2.16459966,0.47462,0.4352
98,1.93494325,2.12327849,0.47806,0.4406
99,1.91470913,2.15550784,0.4804,0.4392
100,1.90439043,2.13068225,0.48448,0.4376
101,1.8917027,2.10964011,0.48558,0.4456
